district,year,population
Kota Marudu,2021,281.3
Kota Marudu,2022,284.3
Kota Marudu,2023,289.5
Kota Setar,2020,1496.3
Kota Setar,2021,1505.0
Kota Setar,2022,1507.7
Kota Setar,2023,1516.5
Kota Tinggi,2020,889.8
Kota Tinggi,2021,894.6
Kota Tinggi,2022,899.7
Kota Tinggi,2023,915.1
Kuala Kangsar,2020,704.1
Kuala Kangsar,2021,705.2
Kuala Kangsar,2022,706.8
Kuala Kangsar,2023,712.6
Kuala Krai,2020,420.2
Kuala Krai,2021,423.6
Kuala Krai,2022,428.5
Kuala Krai,2023,436.8
Kuala Langat,2020,1230.0
Kuala Langat,2021,1249.2
Kuala Langat,2022,1258.0
Kuala Langat,2023,1280.9
Kuala Muda,2020,2180.3
Kuala Muda,2021,2185.4
Kuala Muda,2022,2202.0
Kuala Muda,2023,2238.0
Kuala Nerus,2020,582.6
Kuala Nerus,2021,597.6
Kuala Nerus,2022,604.5
Kuala Nerus,2023,614.2
Kuala Penyu,2020,95.1
Kuala Penyu,2021,94.5
Kuala Penyu,2022,94.9
Kuala Penyu,2023,97.0
Kuala Pilah,2020,281.3
Kuala Pilah,2021,280.1
Kuala Pilah,2022,281.9
Kuala Pilah,2023,285.0
Kuala Selangor,2020,1126.4
Kuala Selangor,2021,1140.2
Kuala Selangor,2022,1150.6
Kuala Selangor,2023,1171.9
Kuala Terengganu,2020,919.3
Kuala Terengganu,2021,934.2
Kuala Terengganu,2022,946.7
Kuala Terengganu,2023,963.6
Kuantan,2020,2192.0
Kuantan,2021,2218.4
Kuantan,2022,2231.8
Kuantan,2023,2263.4
Kubang Pasu,2020,951.0
Kubang Pasu,2021,994.7
Kubang Pasu,2022,999.0
Kubang Pasu,2023,1005.7
Kuching,2020,2436.9
Kuching,2021,2449.8
Kuching,2022,2463.3
Kuching,2023,2486.5
Kudat,2020,345.9
Kudat,2021,343.8
Kudat,2022,348.9
Kudat,2023,362.5
Kulai,2020,1317.7
Kulai,2021,1313.0
Kulai,2022,1317.1
Kulai,2023,1358.3
Kulim,2020,1350.5
Kulim,2021,1356.4
Kulim,2022,1365.3
Kulim,2023,1385.0
Kunak,2020,275.5
Kunak,2021,267.8
Kunak,2022,271.3
Kunak,2023,304.5
Lahad Datu,2020,916.5
Lahad Datu,2021,932.9
Lahad Datu,2022,907.8
Lahad Datu,2023,964.8
Langkawi,2020,376.5
Langkawi,2021,380.5
Langkawi,2022,385.6
Langkawi,2023,392.1
Larut Dan Matang,2020,1078.2
Larut Dan Matang,2021,1089.0
Larut Dan Matang,2022,1090.5
Larut Dan Matang,2023,1101.7
Lawas,2020,146.5
Lawas,2021,147.8
Lawas,2022,148.5
Lawas,2023,151.5
Limbang,2020,180.2
Limbang,2021,181.4
Limbang,2022,182.8
Limbang,2023,184.6
Lipis,2020,386.4
Lipis,2021,386.2
Lipis,2022,391.3
Lipis,2023,400.3
Lubok Antu,2020,98.0
Lubok Antu,2021,99.2
Lubok Antu,2022,98.5
Lubok Antu,2023,98.3
Lundu,2020,133.9
Lundu,2021,134.9
Lundu,2022,135.3
Lundu,2023,137.3
Machang,2020,440.4
Machang,2021,451.7
Machang,2022,455.9
Machang,2023,460.5
Manjung,2020,987.9
Manjung,2021,1000.5
Manjung,2022,998.4
Manjung,2023,1009.0
Maradong,2020,81.1
Maradong,2021,81.4
Maradong,2022,82.1
Maradong,2023,82.6
Maran,2020,448.7
Maran,2021,454.3
Maran,2022,458.8
Maran,2023,468.2
Marang,2020,466.3
Marang,2021,477.8
Marang,2022,485.9
Marang,2023,495.8
Marudi,2020,75.4
Marudi,2021,76.9
Marudi,2022,75.6
Marudi,2023,76.0
Matu,2020,65.2
Matu,2021,66.1
Matu,2022,65.4
Matu,2023,66.8
Melaka Tengah,2020,2388.5
Melaka Tengah,2021,2390.8
Melaka Tengah,2022,2411.4
Melaka Tengah,2023,2468.0
Mersing,2020,313.1
Mersing,2021,315.2
Mersing,2022,316.1
Mersing,2023,320.6
Miri,2020,995.3
Miri,2021,1001.7
Miri,2022,1005.1
Miri,2023,1020.5
Muallim,2020,306.7
Muallim,2021,312.0
Muallim,2022,312.0
Muallim,2023,314.4
Muar,2020,1259.2
Muar,2021,1263.1
Muar,2022,1255.6
